amenity,weight
cafe,5
fast_food,5
restaurant,5
pub,5
hospital,5
bar,5
ice_cream,5
cinema,5
theatre,5
clinic,5
bus_station,5
atm,5
drinking_water,5
nightclub,5
clock,5
bureau_de_change,5
food_court,5
internet_cafe,5
toilets,5
vending_machine,5
marketplace,5
parking,5
police,5
taxi,5
bistro,5
gambling,5
fire_station,5
spa,5
events_venue,5
embassy,5
studio,5
juice_bar,5
science,5
casino,5
park,5
car_sharing,5
disused:restaurant,5
atm;bank,5
lounge,5
telephone,5
leisure,5
ferry_terminal,4
car_rental,4
bicycle_rental,4
charging_station,4
boat_rental,4
fuel,3
conference_centre,3
gym,3
bank,2
parking_entrance,2
childcare,2
community_centre,2
arts_centre,2
fountain,2
place_of_worship,1
library,1
public_building,1
post_office,1
public_bookcase,1
university,1
bicycle_parking,1
nursery,1
college,1
post_box,1
motorcycle_parking,1
townhall,1
waste_basket,1
monastery,1
watering_place,1
storage,1
bicycle_repair_station,1
pharmacy,0
school,0
dentist,0
doctors,0
dojo,0
kindergarten,0
bench,0
shelter,0
veterinary,0
recycling,0
Pharmacy,0
car_wash,0
social_facility,0
family_centre,0
prep_school,0
meditation_centre,0
scrapyard,0
healthcare,0
courthouse,0
driving_school,0
workshop,0
safety,0
lobby,0
language_school,0
waste_disposal,0
construction,0
cram_school,0
social_centre,0
music_school,0
water_point,0
animal_shelter,0
chiropractor,0
waste_transfer_station,0
training,0
housing co-op,0
car_rep,0